Angle deg,Incidence angle rad,IAM_transv SAM,IAM_log SAM,IAM_transv SOL,IAM_log SOL,IAM_log SOL_real,IAM_transv SOL_real,IAM_transv SOL_old,IAM_log SOL_old
63.4,1.106538746,0.634726564,0.265560923,0.566704423,0.361943297,,,0.647957463,0.389979132
63.5,1.108284075,0.633030434,0.263533343,0.56487329,0.360210607,,,0.646187292,0.388349737
63.6,1.110029404,0.631329151,0.261508166,0.563039021,0.35847799,,,0.644411902,0.386719871
63.7,1.111774734,0.629622708,0.259485441,0.561201632,0.356745465,,,0.642631297,0.385089549
63.8,1.113520063,0.627911098,0.257465219,0.559361138,0.355013051,,,0.640845482,0.383458784
63.9,1.115265392,0.626194312,0.255447549,0.557517554,0.353280769,,,0.639054461,0.381827591
64,1.117010721,0.624472343,0.253432482,0.555670895,0.351548639,,,0.637258238,0.380195985
64.1,1.118756051,0.622745185,0.251420068,0.553821176,0.349816679,,,0.635456819,0.378563981
64.2,1.12050138,0.621012829,0.249410358,0.551968414,0.348084911,,,0.633650207,0.376931592
64.3,1.122246709,0.619275268,0.247403403,0.550112622,0.346353354,,,0.631838409,0.375298834
64.4,1.123992038,0.617532495,0.245399253,0.548253817,0.344622027,,,0.630021427,0.373665722
64.5,1.125737368,0.615784503,0.24339796,0.546392015,0.342890952,,,0.628199269,0.37203227
64.6,1.127482697,0.614031283,0.241399574,0.544527231,0.341160148,,,0.626371937,0.370398493
64.7,1.129228026,0.612272829,0.239404148,0.542659481,0.339429636,,,0.624539439,0.368764407
64.8,1.130973355,0.610509133,0.237411733,0.540788781,0.337699435,,,0.622701777,0.367130025
64.9,1.132718685,0.608740187,0.23542238,0.538915147,0.335969566,,,0.620858959,0.365495364
65,1.134464014,0.606965985,0.233436141,0.537038594,0.334240049,,,0.619010988,0.363860437
65.1,1.136209343,0.605186518,0.231453069,0.535159139,0.332510905,,,0.617157871,0.362225261
65.2,1.137954672,0.60340178,0.229473215,0.533276799,0.330782154,,,0.615299613,0.360589849
65.3,1.139700002,0.601611763,0.227496632,0.531391588,0.329053817,,,0.613436218,0.358954218
65.4,1.141445331,0.599816459,0.225523373,0.529503525,0.327325914,,,0.611567694,0.357318383
65.5,1.14319066,0.598015862,0.22355349,0.527612624,0.325598466,,,0.609694044,0.355682358
65.6,1.144935989,0.596209963,0.221587036,0.525718904,0.323871493,,,0.607815276,0.354046159
65.7,1.146681319,0.594398755,0.219624064,0.523822379,0.322145016,,,0.605931394,0.352409802
65.8,1.148426648,0.592582231,0.217664627,0.521923068,0.320419056,,,0.604042404,0.350773301
65.9,1.150171977,0.590760384,0.215708779,0.520020986,0.318693634,,,0.602148313,0.349136672
66,1.151917306,0.588933206,0.213756573,0.518116151,0.31696877,,,0.600249126,0.347499931
66.1,1.153662636,0.587100689,0.211808062,0.516208579,0.315244486,,,0.598344849,0.345863093
66.2,1.155407965,0.585262826,0.2098633,0.514298288,0.313520803,,,0.596435489,0.344226173
66.3,1.157153294,0.58341961,0.207922343,0.512385294,0.311797741,,,0.594521051,0.342589188
66.4,1.158898623,0.581571033,0.205985242,0.510469615,0.310075322,,,0.592601542,0.340952152
66.5,1.160643953,0.579717088,0.204052054,0.508551268,0.308353566,,,0.590676967,0.339315081
66.6,1.162389282,0.577857768,0.202122831,0.50663027,0.306632496,,,0.588747334,0.337677991
66.7,1.164134611,0.575993064,0.20019763,0.50470664,0.304912131,,,0.586812648,0.336040899
66.8,1.16587994,0.574122971,0.198276504,0.502780393,0.303192494,,,0.584872917,0.334403819
66.9,1.16762527,0.572247479,0.196359509,0.500851548,0.301473606,,,0.582928146,0.332766767
67,1.169370599,0.570366582,0.194446699,0.498920123,0.299755488,,,0.580978343,0.331129759
67.1,1.171115928,0.568480272,0.192538131,0.496986134,0.298038162,,,0.579023513,0.329492812
67.2,1.172861257,0.566588543,0.190633858,0.495049601,0.29632165,,,0.577063665,0.327855941
67.3,1.174606587,0.564691386,0.188733938,0.493110541,0.294605972,,,0.575098804,0.326219162
67.4,1.176351916,0.562788793,0.186838426,0.491168971,0.29289115,,,0.573128937,0.324582491
67.5,1.178097245,0.560880759,0.184947376,0.489224911,0.291177207,,,0.571154072,0.322945944
67.6,1.179842574,0.558967275,0.183060847,0.487278377,0.289464163,,,0.569174215,0.321309538
67.7,1.181587904,0.557048333,0.181178893,0.485329389,0.287752041,,,0.567189374,0.319673288
67.8,1.183333233,0.555123927,0.179301572,0.483377965,0.286040862,,,0.565199555,0.318037211
67.9,1.185078562,0.553194049,0.177428939,0.481424122,0.284330649,,,0.563204767,0.316401323
68,1.186823891,0.551258691,0.175561052,0.47946788,0.282621423,,,0.561205015,0.31476564
68.1,1.188569221,0.549317847,0.173697967,0.477509257,0.280913207,,,0.559200309,0.313130179
68.2,1.19031455,0.547371508,0.171839742,0.475548272,0.279206021,,,0.557190654,0.311494955
68.3,1.192059879,0.545419667,0.169986433,0.473584943,0.277499889,,,0.555176059,0.309859986
68.4,1.193805208,0.543462318,0.168138098,0.471619289,0.275794833,,,0.553156531,0.308225288
68.5,1.195550538,0.541499451,0.166294794,0.469651329,0.274090874,,,0.551132078,0.306590878
68.6,1.197295867,0.539531061,0.16445658,0.467681082,0.272388036,,,0.549102707,0.304956771
68.7,1.199041196,0.537557139,0.162623512,0.465708567,0.27068634,,,0.547068427,0.303322985
68.8,1.200786525,0.535577678,0.160795649,0.463733804,0.268985808,,,0.545029245,0.301689536
68.9,1.202531855,0.533592671,0.158973049,0.461756811,0.267286464,,,0.542985169,0.30005644
69,1.204277184,0.53160211,0.157155771,0.459777607,0.265588329,,,0.540936207,0.298423716
69.1,1.206022513,0.529605989,0.155343872,0.457796212,0.263891427,,,0.538882367,0.296791378
69.2,1.207767842,0.527604298,0.153537412,0.455812646,0.262195779,,,0.536823657,0.295159445
69.3,1.209513172,0.525597032,0.151736449,0.453826927,0.260501409,,,0.534760086,0.293527933
69.4,1.211258501,0.523584182,0.149941042,0.451839077,0.258808339,,,0.532691661,0.291896858
69.5,1.21300383,0.521565742,0.148151251,0.449849113,0.257116591,,,0.530618392,0.290266238
69.6,1.214749159,0.519541703,0.146367134,0.447857057,0.255426189,,,0.528540286,0.28863609
69.7,1.216494489,0.517512058,0.144588751,0.445862927,0.253737156,,,0.526457351,0.287006431
69.8,1.218239818,0.515476801,0.142816162,0.443866744,0.252049514,,,0.524369598,0.285377277
69.9,1.219985147,0.513435923,0.141049426,0.441868528,0.250363286,,,0.522277033,0.283748646
70,1.221730476,0.511389416,0.139288603,0.439868299,0.248678496,,,0.520179666,0.282120556
70.1,1.223475806,0.509337275,0.137533754,0.437866077,0.246995166,,,0.518077505,0.280493022
70.2,1.225221135,0.507279491,0.135784938,0.435861882,0.245313319,,,0.51597056,0.278866063
70.3,1.226966464,0.505216056,0.134042217,0.433855735,0.24363298,,,0.513858839,0.277239696
70.4,1.228711793,0.503146964,0.13230565,0.431847656,0.24195417,,,0.511742351,0.275613938
70.5,1.230457123,0.501072207,0.130575298,0.429837665,0.240276913,,,0.509621105,0.273988806
70.6,1.232202452,0.498991778,0.128851222,0.427825784,0.238601233,,,0.507495111,0.272364318
